Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
PJ.10-05,Validation,Q1-2019,0,0,0,4,4,0
PJ.10-05,Validation,Q2-2019,0,0,0,6,6,0
PJ.10-05,Validation,Q3-2019,0,0,0,0,0,0
PJ.10-05,Validation,Q4-2019,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q4-2016,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q1-2017,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q2-2017,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q3-2017,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q4-2017,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q1-2018,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q2-2018,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q3-2018,0,0,0,1,1,0
PJ.10-05,Maturity_Gate,Q4-2018,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q1-2019,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q2-2019,0,0,0,0,0,0
PJ.10-05,Maturity_Gate,Q3-2019,0,0,0,1,1,0
PJ.10-05,Maturity_Gate,Q4-2019,0,0,0,0,0,0
PJ.10-05,Work_Package,Q4-2016,0,0,0,0,0,0
PJ.10-05,Work_Package,Q1-2017,0,0,0,0,0,0
PJ.10-05,Work_Package,Q2-2017,0,0,0,0,0,0
PJ.10-05,Work_Package,Q3-2017,0,0,0,0,0,0
PJ.10-05,Work_Package,Q4-2017,0,0,0,0,0,0
PJ.10-05,Work_Package,Q1-2018,0,0,0,0,0,0
PJ.10-05,Work_Package,Q2-2018,0,0,0,0,0,0
PJ.10-05,Work_Package,Q3-2018,0,0,0,1,1,0
PJ.10-05,Work_Package,Q4-2018,0,0,0,0,0,0
PJ.10-05,Work_Package,Q1-2019,0,0,0,0,0,0
PJ.10-05,Work_Package,Q2-2019,0,0,0,0,0,0
PJ.10-05,Work_Package,Q3-2019,0,0,0,1,1,0
PJ.10-05,Work_Package,Q4-2019,0,0,0,0,0,0
PJ.10-05,Communication,Q4-2016,0,0,0,0,0,0
PJ.10-05,Communication,Q1-2017,0,0,0,0,0,0
PJ.10-05,Communication,Q2-2017,0,0,0,0,0,0
PJ.10-05,Communication,Q3-2017,0,0,0,0,0,0
PJ.10-05,Communication,Q4-2017,0,0,0,0,0,0
PJ.10-05,Communication,Q1-2018,0,0,0,0,0,0
PJ.10-05,Communication,Q2-2018,0,0,0,0,0,0
PJ.10-05,Communication,Q3-2018,0,0,0,1,1,0
PJ.10-05,Communication,Q4-2018,0,0,0,0,0,0
PJ.10-05,Communication,Q1-2019,0,0,0,0,0,0
PJ.10-05,Communication,Q2-2019,0,0,0,0,0,0
PJ.10-05,Communication,Q3-2019,0,0,0,1,1,0
PJ.10-05,Communication,Q4-2019,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q4-2016,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q1-2017,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q2-2017,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q3-2017,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q4-2017,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q1-2018,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q2-2018,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q3-2018,0,0,0,1,1,0
PJ.10-05,Reporting_Period,Q4-2018,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q1-2019,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q2-2019,0,0,0,0,0,0
PJ.10-05,Reporting_Period,Q3-2019,0,0,0,1,1,0
PJ.10-05,Reporting_Period,Q4-2019,0,0,0,0,0,0
PJ.10-05,Review,Q4-2016,0,0,0,0,0,0
PJ.10-05,Review,Q1-2017,0,0,0,0,0,0
PJ.10-05,Review,Q2-2017,0,0,0,0,0,0
PJ.10-05,Review,Q3-2017,0,0,0,0,0,0
